Unnamed: 0,college_name,location,course_fees,review,rank,Average Package,Highest Package,Cutoff rank in CSE
1905,"Madhukarrao Pandav College of Engineering - [MPCE], Bhandara","Bhandara, Maharashtra","₹ 77,000",7.3 / 10,,625000,,114205
1906,"Prasanna College of Engineering and Technology - [PCET], Bangalore","Bangalore, Karnataka","₹ 58,806",,,,,188409
1907,"Nagesh Karajgi Orchid College of Engineering and Technology - [NKOCET], Solapur","Solapur, Maharashtra","₹ 1,02,000",8.1 / 10,#170th/173  in India   2022,325000,,19209
1908,"Universal College of Engineering, Thane","Thane, Maharashtra","₹ 70,000",7.3 / 10,#58th/170  in India   2023,,,8966
1909,"Wellfare Institute of Science Technology and Management - [WISTM], Visakhapatnam","Visakhapatnam, Andhra Pradesh","₹ 35,000",08-Oct,,350000,,91255
1910,"Dr. Vithalrao Vikhe Patil College of Engineering, Ahmednagar","Ahmednagar, Maharashtra","₹ 93,659",7.6 / 10,,,,9726
1911,"Universal College of Engineering and Technology - [UCET], Tirunelveli","Tirunelveli, Tamil Nadu","₹ 50,000",8.7 / 10,,600000,,186230
1912,"SRS College of Engineering and Technology - [SRSCET], Salem","Salem, Tamil Nadu","₹ 50,000",6.9 / 10,,,,160954
1913,"College of Fisheries Engineering, Tamil Nadu Fisheries University - [COFE], Nagapattinam","Nagapattinam, Tamil Nadu","₹ 1,06,225",9.2 / 10,,650000,,36142
1914,"Government Engineering college - [GECK], Kodagu","Kodagu, Karnataka","₹ 20,390",6.1 / 10,,,,129188
1915,"PES University Electronic City Campus, Bangalore","Bangalore, Karnataka","₹ 4,20,000",7.6 / 10,,400000,1363000,70337
1916,"GITAM School of Technology, Hyderabad","Hyderabad, Telangana","₹ 3,29,500",8.2 / 10,,490000,1200000,86703
1917,"GITAM School of Technology, Bangalore","Bangalore, Karnataka","₹ 2,25,500",08-Oct,,,,109379
1918,"Apex Institute of Technology - [AIT], Mohali","Mohali, Punjab","₹ 2,27,000",,,,,118402
1919,"RK University, School of Engineering, Rajkot","Rajkot, Gujarat","₹ 65,000",08-Oct,,180000,1000000,93280
1920,"Ideal Group of Institutions, Ghaziabad","Ghaziabad, Uttar Pradesh","₹ 92,500",6.7 / 10,,,,145327
1921,"Lala Lajpat Rai Institute of Engineering and Technology, Moga","Moga, Punjab","₹ 88,150",6.9 / 10,,700000,,45956
1922,"Helapuri Institute Of Technology And Science - [HITS], Eluru","Eluru, Andhra Pradesh","₹ 40,500",,,,,74423
1923,"Sri Krishnadevaraya University College of Engineering and Technology - [SKUCET], Anantapur","Anantapur, Andhra Pradesh","₹ 40,500",7.5 / 10,,350000,,179202
1924,"Shadan Women's College of Engineering & Technology - [SWCET], Hyderabad","Hyderabad, Telangana","₹ 45,000",6.7 / 10,,,,174514
1925,"Bhagwan Mahavir College of Engineering & Technology - [BMCET], Surat","Surat, Gujarat","₹ 76,000",6.2 / 10,,,,38965
1926,"Swarrnim Startup & Innovation University, Gandhinagar","Gandhinagar, Gujarat","₹ 71,000",6.9 / 10,,450000,1300000,195690
1927,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon","Malegaon, Maharashtra","₹ 58,500",5.6 / 10,,325000,,46657
1928,"Ramchandra Chandravansi University - [RCU], Palamu","Palamu, Jharkhand","₹ 60,000",5.7 / 10,,,,189645
1929,"LJ University - [ LJU], Ahmedabad","Ahmedabad, Gujarat","₹ 73,000",7.9 / 10,,350000,1500000,161338
1930,"BP Mandal College of Engineering, Madhepura","Madhepura, Bihar",--,7.5 / 10,,,,36148
1931,"Government Engineering College - [GEC], Jehanabad","Jehanabad, Bihar",--,6.4 / 10,,550000,,123094
1932,"A.R College of Engineering and Technology - [ARCET], Tirunelveli","Tirunelveli, Tamil Nadu","₹ 70,000",08-Oct,,,,177063
1933,"Alice Institute of Technology [AIT], Ranchi","Ranchi, Jharkhand",--,,,500000,,127335
1934,"Bishamber Sahai Institute of Technology - [BSIT], Roorkee","Roorkee, Uttarakhand",--,9.2 / 10,,,,183929
1935,"Premier Institute of Technology - [PIT], Jabalpur","Jabalpur, Madhya Pradesh",--,07-Oct,,430000,,75837
1936,"VSM Institute of Technology - [VSMIT], Belgaum","Belgaum, Karnataka","₹ 55,000",6.5 / 10,,,,161708
1937,"Saraswathy College of Engineering and Technology, Tindivanam","Tindivanam, Tamil Nadu","₹ 29,220",,,350000,,128310
1938,"Sembodai Rukmani Varatharajan Engineering College - [SRVEC], Vedaranyam","Vedaranyam, Tamil Nadu","₹ 40,000",,,,,147817
1939,"VPV College of Engineering, Devathanapatti, Periyakulam","Periyakulam, Tamil Nadu",--,6.7 / 10,,,,108643
1940,"Sri Ramakrishna College of Engineering, Perambalur","Perambalur, Tamil Nadu","₹ 40,000",10-Oct,,500000,1100000,57306
1941,"Sai Nath Group of Education - [SNGE], Agra","Agra, Uttar Pradesh","₹ 55,000",7.8 / 10,,450000,1300000,58968
1942,"Vidyadaan Institute of Technology and Management- [VITM], Patna","Patna, Bihar","₹ 80,000",,,,1000000,9831
1943,"Samanvay Pratishthan's Institute of Knowledge College of Engineering - [IOKCOE], Pune","Pune, Maharashtra","₹ 52,500",6.5 / 10,,450000,950000,70921
1944,"Avanthi's Scientific Technological & Research Academy - [ASTRA], Hyderabad","Hyderabad, Telangana","₹ 50,000",7.8 / 10,,,144000,83132
1945,"Dr. Sau Kamaltai Gawai Institute of Engineering and Technology - [KGIET], Amravati","Amravati, Maharashtra","₹ 63,000",,,350000,120000,115493
1946,"AG Patil Institute of Technology - [AGPIT], Solapur","Solapur, Maharashtra","₹ 76,500",7.5 / 10,,400000,800000,19618
1947,"Amalapuram Institute of Management Sciences and College of Engineering - [AIMSCMS], East Godavari","East Godavari, Andhra Pradesh","₹ 37,200",7.4 / 10,,,850000,10943
1948,"Anjuman College of Engineering & Technology - [ACET], Nagpur","Nagpur, Maharashtra","₹ 93,000",7.5 / 10,,350000,700000,132319
1949,"Audisankara College of Engineering and Technology Gudur - [ASCET], Nellore","Nellore, Andhra Pradesh","₹ 48,600",7.8 / 10,#148th/170  in India   2023,,,173324
1950,"Avanthi Institute of Engineering and Technology - [AIET], Hyderabad","Hyderabad, Telangana","₹ 65,000",7.5 / 10,#194th/246  in India   2023,,1100000,170836
1951,"Baba Farid College of Engineering and Technology - [BFCET], Bathinda","Bathinda, Punjab","₹ 87,410",7.7 / 10,,530000,1200000,12145
1952,"Bhivarabai Sawant College of Engineering & Research-[BSCOER] Narhe, Pune","Pune, Maharashtra","₹ 92,000",7.6 / 10,,,1000000,12164
1953,"Ch. Devi Lal State Institute of Engineering & Technology, Sirsa","Sirsa, Haryana","₹ 40,000",6.5 / 10,#145th/170  in India   2023,350000,600000,70634
1954,"College of Engineering Sciences & Technology - [CEST], Lucknow","Lucknow, Uttar Pradesh","₹ 62,500",5.6 / 10,,,1500000,42892
