Unnamed: 0,college_name,location,course_fees,review,Average Package,Highest Package,Cutoff rank in CSE
781,"College of Engineering Muttathara, Thiruvananthapuram","Thiruvananthapuram, Kerala",56705,7.453557199772339,220000,600000,71651
782,"Bhopal Institute of Technology & Science - [BITS], Bhopal","Bhopal, Madhya Pradesh",55000,5.4,360000,900000,42604
783,"St.Mary's Engineering College - [SMEC], Hyderabad","Hyderabad, Telangana",45000,7.1,600000,2417680,176798
784,"Maharishi University of Information Technology -[MUIT], Noida","Noida, Uttar Pradesh",150000,6.8,541800,1200000,197340
785,"Meerut Institute of Technology - [MIT], Meerut","Meerut, Uttar Pradesh",87500,8.2,541800,2417680,45259
786,"Institute of Technology and Management - [ITM], Gorakhpur","Gorakhpur, Uttar Pradesh",55000,7.4,108000,375000,35574
787,"VSB College of Engineering Technical Campus, Coimbatore","Coimbatore, Tamil Nadu",55000,7.9,541800,1000000,51776
788,"Guru Nanak Institutions Technical Campus - [GNITC], Hyderabad","Hyderabad, Telangana",107000,7.453557199772339,350000,2417680,126214
789,"Bineswar Brahma Engineering College- [BBEC], Kokrajhar","Kokrajhar, Assam",12800,7.5,541800,2600000,35319
790,"Institute of Engineering & Technology, Agra","Agra, Uttar Pradesh",78000,7.1,541800,2417680,159533
791,"Rawal Institutions, Faridabad","Faridabad, Haryana",70000,7.3,250000,950000,56650
792,"Madhyanchal Professional University - [MPU], Bhopal","Bhopal, Madhya Pradesh",40000,6.6,380000,1800000,15969
793,"Yenepoya Institute of Technology - [YIT], Mangalore","Mangalore, Karnataka",58806,8.5,541800,2417680,20243
794,"Ramgarh Engineering College - [REC], Ramgarh","Ramgarh, Jharkhand",0,6.9,541800,2417680,93997
795,"Bharati Vidyapeeth College of Engineering - [BVCOE] Navi Mumbai, Mumbai","Mumbai, Maharashtra",110000,7.1,450000,1000000,40573
796,"Christ College of Engineering and Technology, Pondicherry","Pondicherry, Puducherry",116000,7.2,541800,2417680,126328
797,"College of Engineering Trikaripur, Kasaragod","Kasaragod, Kerala",43805,7.3,350000,2417680,24099
798,"Coorg Institute of Technology - [CIT], Kodagu","Kodagu, Karnataka",90340,6.7,240000,420000,125240
799,"Dr. Sivanthi Aditanar College of engineering - [SACOE], Tiruchendur","Tiruchendur, Tamil Nadu",65000,7.6,250000,2417680,76789
800,"G. Pullaiah College of Engineering and Technology - [GPCET], Kurnool","Kurnool, Andhra Pradesh",48000,7.3,541800,2417680,87763
801,"GSSS Institute of Engineering and Technology for Women - [GSSSIETW], Mysore","Mysore, Karnataka",85040,8.3,425000,1700000,177399
802,"Genba Sopanrao Moze College of Engineering Balewadi, Pune","Pune, Maharashtra",65000,6.3,541800,2417680,132647
803,"Government Engineering College - [GECI], Idukki","Idukki, Kerala",19800,7.7,541800,1800000,148344
804,"Government Engineering College - [GECH], Hassan","Hassan, Karnataka",76360,7.8,300000,2417680,56631
805,"Guru Nanak Dev Engineering College - [GNDEC ], Bidar","Bidar, Karnataka",81000,6.8,541800,1200000,95630
806,"Haryana Engineering College - [HEC], Yamuna Nagar","Yamuna Nagar, Haryana",70000,7.6,541800,350000,150803
807,"Holy Mary Institute of Technology and Science -[HITS], Hyderabad","Hyderabad, Telangana",66000,7.3,450000,2417680,64582
808,"ITS Engineering College, Greater Noida","Greater Noida, Uttar Pradesh",105000,8.6,541800,2600000,72699
809,"ILM College of Engineering and Technology - [ILMCET], Ernakulam","Ernakulam, Kerala",274000,6.9,560000,2417680,168107
810,"Indira College of Engineering & Management - [ICEM], Pune","Pune, Maharashtra",104000,7.4,400000,1200000,103097
811,"Indra Ganesan College of Engineering - [IGCENG], Tiruchirappalli","Tiruchirappalli, Tamil Nadu",50000,5.6,240000,1800000,56776
812,"Jawaharlal Nehru Government Engineering College - [JNGEC], Sundarnagar","Sundarnagar, Himachal Pradesh",55000,6.7,750000,2360000,8582
813,"K Ramakrishnan College of Technology - [KRCT], Tiruchirappalli","Tiruchirappalli, Tamil Nadu",65000,7.5,500000,2417680,104114
814,"Kalam Institute of Technology - [KIT], Ganjam","Ganjam, Orissa",212000,6.9,541800,1300000,97676
815,"Kandula Sreenivasa Reddy Memorial College of Engineering - [KSRMCE], Kadapa","Kadapa, Andhra Pradesh",56700,7.6,541800,2417680,94362
816,"Karavali Institute of Technology - [KIT], Mangalore","Mangalore, Karnataka",80000,7.6,300000,1700000,179527
817,"L.B.S. College of Engineering - [LBSCEK], Kasaragod","Kasaragod, Kerala",57620,7.7,541800,2417680,25425
818,"Latha Mathavan Engineering College - [LMEC], Madurai","Madurai, Tamil Nadu",55000,5.1,450000,1200000,28184
819,"Manipur Institute of Technology - [MIT], Imphal","Imphal, Manipur",69200,7.4,541800,2417680,101839
820,"Modern Institute of Technology and Research Centre -[MITRC], Alwar","Alwar, Rajasthan",77750,7.4,350000,1428000,197927
